date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:46	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:45%20GMT	https://www.hushbb.nl/vbid-82d60526-mcxff0m2	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-82d60526-mcxff0m2	(from https://www.hushbb.nl/complete-poolhouse)
11:20:46	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:46%20GMT	https://www.hushbb.nl/vbid-e1995-pk0vx3rs	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-pk0vx3rs	(from https://www.hushbb.nl/complete-poolhouse)
11:20:47	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:46%20GMT	https://www.hushbb.nl/vbid-e1995-tnrk4bb6	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-tnrk4bb6	(from https://www.hushbb.nl/complete-poolhouse)
11:20:47	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:46%20GMT	https://www.hushbb.nl/vbid-e1995-pbdv3ohg	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-pbdv3ohg	(from https://www.hushbb.nl/complete-poolhouse)
11:20:47	219831/219831	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2008:28:38%20GMT	https://www.hushbb.nl/hush-room	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/hush-room.html	(from https://www.hushbb.nl/bb-kamers)
11:20:48	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:47%20GMT	https://www.hushbb.nl/vbid-e1995-2ae23ml0	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-2ae23ml0	(from https://www.hushbb.nl/hush-room)
11:20:48	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:47%20GMT	https://www.hushbb.nl/vbid-e1995-rgawjvft	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-rgawjvft	(from https://www.hushbb.nl/hush-room)
11:20:48	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:48%20GMT	https://www.hushbb.nl/vbid-e1995-kho32rnt	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-kho32rnt	(from https://www.hushbb.nl/hush-room)
11:20:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:48%20GMT	https://www.hushbb.nl/vbid-e1995-prj4bixe	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-e1995-prj4bixe	(from https://www.hushbb.nl/hush-room)
11:20:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2009:20:48%20GMT	https://www.hushbb.nl/vbid-06ea52e9-zf6teos9	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/vbid-06ea52e9-zf6teos9	(from https://www.hushbb.nl/hush-room)
